country,platform,city,address,method,source,notes
Philippines,TaskUs,Las Piñas,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Pampanga,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Rizal,,Company website,https://www.taskus.com/locations/,
Philippines,Innodata,"Mandaue City, Cebu","Innodata Knowledge Services, Inc. (Mandaue City, Cebu)",SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Philippines,Innodata,Makati City,ESS Manufacturing Co. Inc. (Makati City),SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Philippines,IngeData,Pasig City,"Robinsons Cyberscape Beta, Ruby & Topaz Road, Ortigas Center, Pasig City, Metro Manila",LinkedIn; Industry Site,https://ph.indeed.com/cmp/Ingedata-Philippines-Inc/locations,
Philippines,IngeData,Makati City,"7F Makati Sky Plaza Building, 6788 Ayala Avenue, Brgy. San Lorenzo Village, Makati City 1223",LinkedIn; Industry Site,https://ph.indeed.com/cmp/Ingedata-Philippines-Inc/locations,
Serbia,TaskUs,Belgrade,TaskUs SB d.o.o. Beograd (Belgrade),SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Serbia,Centific,Belgrade,,Company website,https://www.centific.com/company/locations,
Singapore,Centific,Singapore,,Company website,https://www.centific.com/company/locations,
Spain,Centific,Barcelona,,Company website,https://www.centific.com/company/locations,
Taiwan,TaskUs,Taipei,"TaskUs Holdings, Inc., Taiwan Branch (Taipei)",SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Taiwan,Centific,Taiwan,,Company website,https://www.centific.com/company/locations,
Taiwan,CloudFactory,.,,Company website,https://www.cloudfactory.com/careers,
Thailand,IngeData,Phra Khanong,"T-One Building, 8 Sukhumvit 40 Alley, Khet Khlong Toei, Phra Khanong, Bangkok 10110",LinkedIn,https://www.linkedin.com/company/ingedata-group/?originalSubdomain=sg,
Uganda,Sama,Gulu,,Company website,https://www.sama.com/our-team,
Uganda,Sama,Kampala,,Company website,https://www.sama.com/our-team,
Ukraine,Keymakr,.,,LinkedIn,https://www.linkedin.com/company/keymakr/people/ https://dataannotationcompanies.com/company/keymakr https://segments.ai/data-labeling-companies/keymakr/,
United Kingdom,TaskUs,London,TaskUs Limited (London),SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
United Kingdom,CloudFactory,Reading,,Company website,https://craft.co/cloudfactory/locations,
United States,DesiCrew,"Fremont, CA",,Company website,https://desicrew.in/about-us/company-profile/,
United States,iMerit,"New Orleans, LA",,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
Zambia,Impact Enterprises,Chipata,,LinkedIn,https://www.linkedin.com/company/impact-enterprises,
